round_id,tag_name,train_roc_auc,train_f1,train_precision,train_recall,train_cr,train_kappa,train_pos_rate,test_roc_auc,test_f1,test_precision,test_recall,test_cr,test_kappa,test_pos_rate
1,lock,0.884672619,0.5,0,0,"              precision    recall  f1-score   support

           0       0.84      1.00      0.91        84
           1       0.00      0.00      0.00        16

    accuracy                           0.84       100
   macro avg       0.42      0.50      0.46       100
weighted avg       0.71      0.84      0.77       100
",0,0.16,0.799634771,0.5,0,0,"              precision    recall  f1-score   support

           0       0.86      1.00      0.93      2070
           1       0.00      0.00      0.00       332

    accuracy                           0.86      2402
   macro avg       0.43      0.50      0.46      2402
weighted avg       0.74      0.86      0.80      2402
",0,0.138218152
1,video_doorbell,0.997647059,0.960784314,0.933333333,0.933333333,"              precision    recall  f1-score   support

           0       0.99      0.99      0.99        85
           1       0.93      0.93      0.93        15

    accuracy                           0.98       100
   macro avg       0.96      0.96      0.96       100
weighted avg       0.98      0.98      0.98       100
",0.921568627,0.15,0.924975511,0.85708618,0.973799127,0.717041801,"              precision    recall  f1-score   support

           0       0.96      1.00      0.98      2091
           1       0.97      0.72      0.83       311

    accuracy                           0.96      2402
   macro avg       0.97      0.86      0.90      2402
weighted avg       0.96      0.96      0.96      2402
",0.804451943,0.129475437
1,gate,0.653125,0.5,0,0,"              precision    recall  f1-score   support

           0       0.80      1.00      0.89        80
           1       0.00      0.00      0.00        20

    accuracy                           0.80       100
   macro avg       0.40      0.50      0.44       100
weighted avg       0.64      0.80      0.71       100
",0,0.2,0.608688022,0.5,0,0,"              precision    recall  f1-score   support

           0       0.84      1.00      0.91      2011
           1       0.00      0.00      0.00       391

    accuracy                           0.84      2402
   macro avg       0.42      0.50      0.46      2402
weighted avg       0.70      0.84      0.76      2402
",0,0.162781016
1,lights,0.943157895,0.8,1,0.6,"              precision    recall  f1-score   support

           0       0.98      1.00      0.99        95
           1       1.00      0.60      0.75         5

    accuracy                           0.98       100
   macro avg       0.99      0.80      0.87       100
weighted avg       0.98      0.98      0.98       100
",0.74025974,0.05,0.747335445,0.520979021,1,0.041958042,"              precision    recall  f1-score   support

           0       0.94      1.00      0.97      2259
           1       1.00      0.04      0.08       143

    accuracy                           0.94      2402
   macro avg       0.97      0.52      0.53      2402
weighted avg       0.95      0.94      0.92      2402
",0.076107159,0.059533722
1,intercom,0.855978261,0.5,0,0,"              precision    recall  f1-score   support

           0       0.92      1.00      0.96        92
           1       0.00      0.00      0.00         8

    accuracy                           0.92       100
   macro avg       0.46      0.50      0.48       100
weighted avg       0.85      0.92      0.88       100
",0,0.08,0.64108477,0.5,0,0,"              precision    recall  f1-score   support

           0       0.95      1.00      0.98      2287
           1       0.00      0.00      0.00       115

    accuracy                           0.95      2402
   macro avg       0.48      0.50      0.49      2402
weighted avg       0.91      0.95      0.93      2402
",0,0.047876769
1,dog,0.75422427,0.5,0,0,"              precision    recall  f1-score   support

           0       0.93      1.00      0.96        93
           1       0.00      0.00      0.00         7

    accuracy                           0.93       100
   macro avg       0.47      0.50      0.48       100
weighted avg       0.86      0.93      0.90       100
",0,0.07,0.570166451,0.5,0,0,"              precision    recall  f1-score   support

           0       0.95      1.00      0.97      2280
           1       0.00      0.00      0.00       122

    accuracy                           0.95      2402
   macro avg       0.47      0.50      0.49      2402
weighted avg       0.90      0.95      0.92      2402
",0,0.050791007
1,security_screen_door,0.992907801,0.994680851,0.857142857,1,"              precision    recall  f1-score   support

           0       1.00      0.99      0.99        94
           1       0.86      1.00      0.92         6

    accuracy                           0.99       100
   macro avg       0.93      0.99      0.96       100
weighted avg       0.99      0.99      0.99       100
",0.917763158,0.06,0.877777994,0.853727386,0.260623229,0.821428571,"              precision    recall  f1-score   support

           0       0.99      0.89      0.94      2290
           1       0.26      0.82      0.40       112

    accuracy                           0.88      2402
   macro avg       0.63      0.85      0.67      2402
weighted avg       0.96      0.88      0.91      2402
",0.349658624,0.04662781
1,warning_sign,0.953333333,0.75,1,0.5,"              precision    recall  f1-score   support

           0       0.95      1.00      0.97        90
           1       1.00      0.50      0.67        10

    accuracy                           0.95       100
   macro avg       0.97      0.75      0.82       100
weighted avg       0.95      0.95      0.94       100
",0.642857143,0.1,0.643910879,0.524017467,1,0.048034934,"              precision    recall  f1-score   support

           0       0.91      1.00      0.95      2173
           1       1.00      0.05      0.09       229

    accuracy                           0.91      2402
   macro avg       0.95      0.52      0.52      2402
weighted avg       0.92      0.91      0.87      2402
",0.083658534,0.095337219
1,none,0.520408163,0.5,0,0,"              precision    recall  f1-score   support

           0       0.98      1.00      0.99        98
           1       0.00      0.00      0.00         2

    accuracy                           0.98       100
   macro avg       0.49      0.50      0.49       100
weighted avg       0.96      0.98      0.97       100
",0,0.02,0.676726343,0.5,0,0,"              precision    recall  f1-score   support

           0       0.96      1.00      0.98      2300
           1       0.00      0.00      0.00       102

    accuracy                           0.96      2402
   macro avg       0.48      0.50      0.49      2402
weighted avg       0.92      0.96      0.94      2402
",0,0.042464613
2,lock,0.918330309,0.517241379,1,0.034482759,"              precision    recall  f1-score   support

           0       0.86      1.00      0.92       171
           1       1.00      0.03      0.07        29

    accuracy                           0.86       200
   macro avg       0.93      0.52      0.50       200
weighted avg       0.88      0.86      0.80       200
",0.057556378,0.145,0.826121563,0.506269592,1,0.012539185,"              precision    recall  f1-score   support

           0       0.86      1.00      0.93      1983
           1       1.00      0.01      0.02       319

    accuracy                           0.86      2302
   macro avg       0.93      0.51      0.48      2302
weighted avg       0.88      0.86      0.80      2302
",0.02140908,0.138575152
